Tehsil,Class,Pixel_Count,Pct (%),Min,Max,Mean
BAR CHAMARKAND,Other,61,100.0,7.0,9.0,8.1148
BARANG,Other,944,100.0,6.0,12.0,8.7977
KHAR,Other,1049,100.0,7.0,12.0,10.9609
MAMUND,Other,880,100.0,7.0,12.0,11.2932
NAWAGAI,Other,303,100.0,6.0,12.0,9.0
SALARZAI,Other,984,100.0,7.0,13.0,10.6748
UTMAN KHEL,Other,658,100.0,7.0,12.0,9.769
FR BANNU,Other,4177,100.0,7.0,16.0,7.7565
FR D.I.KHAN,Other,7204,100.0,7.0,16.0,7.1306
FR KOHAT,Other,1024,100.0,7.0,12.0,8.6289
FR LAKKI,Other,935,100.0,7.0,16.0,7.3273
FR PESHAWAR,Other,657,100.0,7.0,13.0,9.0304
FR TANK,Other,5887,100.0,7.0,16.0,7.5381
BARA,Other,5373,100.0,6.0,16.0,9.3549
JAMRUD,Other,1173,100.0,7.0,16.0,9.7332
LANDI KOTAL,Other,2342,100.0,6.0,16.0,9.1909
CENTRAL KURRAM,Other,3737,100.0,7.0,16.0,9.0642
LOWER KURRAM,Other,2533,100.0,7.0,13.0,8.4524
UPPER KURRAM,Other,1859,100.0,7.0,16.0,9.9597
AMBAR UTMAN KHEL,Other,654,100.0,7.0,16.0,7.8242
HALIMZAI,Other,667,100.0,6.0,16.0,7.3898
PINDIALI,Other,1460,100.0,6.0,16.0,7.5863
PRANG GHAR,Other,798,100.0,6.0,16.0,8.312
SAFI,Other,865,100.0,7.0,12.0,8.0671
UPPER MOMAND,Other,2225,100.0,7.0,16.0,7.3474
YAKA GHUND,Other,877,100.0,6.0,16.0,7.8062
DATA KHEL,Other,5564,100.0,6.0,16.0,8.6486
DOSSALI,Other,1273,100.0,7.0,16.0,7.5758
GARYUM,Other,1656,100.0,7.0,16.0,7.6902
GHULAM KHAN,Other,984,100.0,7.0,16.0,7.2835
MIR ALI,Other,2666,100.0,7.0,16.0,7.2881
MIRAN SHAH,Other,1872,100.0,7.0,16.0,7.2169
RAZMAK,Other,422,100.0,6.0,13.0,8.6137
SHEWA,Other,1651,100.0,7.0,16.0,7.2114
SPINWAM,Other,2775,100.0,7.0,16.0,7.1906
CENTRAL ORAKZAI,Other,1073,100.0,6.0,12.0,10.1724
ISMAILZAI,Other,579,100.0,7.0,11.0,8.9223
LOWER ORAKZAI,Other,1381,100.0,6.0,12.0,9.6785
UPPER ORAKZAI,Other,381,100.0,8.0,12.0,10.4882
BIRMAL,Other,3211,100.0,7.0,16.0,9.1395
LADHA,Other,1505,100.0,7.0,13.0,7.7801
MAKIN,Other,1472,100.0,7.0,11.0,8.6298
SARAOGHA,Other,3492,100.0,7.0,16.0,7.3883
SERWEKAI,Other,1700,100.0,7.0,16.0,8.3494
TIARZA,Other,2286,100.0,6.0,16.0,8.2209
TOI KHULLA,Other,2840,100.0,7.0,16.0,15.3662
WANA,Other,10665,100.0,7.0,17.0,12.4641
ABBOTTABAD,Other,5615,100.0,8.0,13.0,9.3863
HAVELIAN,Other,1571,100.0,8.0,13.0,10.4806
BANNU,Other,3966,100.0,7.0,16.0,10.5837
DOMEL,Other,1737,100.0,7.0,16.0,7.9447
ALAI,Other,1993,100.0,8.0,16.0,10.2735
BATAGRAM,Other,1932,100.0,8.0,13.0,10.1113
DAGGAR,Other,3034,100.0,8.0,13.0,10.324
GAGRA,Other,2055,100.0,8.0,13.0,10.0
KHADO KHEL,Other,2837,100.0,8.0,13.0,10.987
CHARSADDA,Other,2384,100.0,9.0,13.0,11.7429
SHABQADAR,Other,1018,100.0,7.0,13.0,11.5255
TANGI,Other,1611,100.0,7.0,13.0,11.1775
CHITRAL,Other,22983,100.0,6.0,17.0,14.7773
MASTUJ,Other,45841,100.0,9.0,17.0,15.7973
