Tehsil,Other,Forest,Grasslands,Croplands
BAR CHAMARKAND,61,0,34,0
BARANG,944,1,563,0
KHAR,1049,0,515,0
MAMUND,880,1,622,2
NAWAGAI,303,0,416,0
SALARZAI,984,16,351,0
UTMAN KHEL,658,15,290,0
FR BANNU,4177,0,391,0
FR D.I.KHAN,7204,0,1891,0
FR KOHAT,1024,1,1599,0
FR LAKKI,935,0,83,0
FR PESHAWAR,657,5,790,0
FR TANK,5887,0,438,0
BARA,5373,728,2956,5
JAMRUD,1173,0,895,0
LANDI KOTAL,2342,0,1932,0
CENTRAL KURRAM,3737,105,4399,0
LOWER KURRAM,2533,0,2730,0
UPPER KURRAM,1859,12,3604,0
AMBAR UTMAN KHEL,654,2,663,0
HALIMZAI,667,0,521,0
PINDIALI,1460,0,1102,0
PRANG GHAR,798,0,665,0
SAFI,865,0,954,0
UPPER MOMAND,2225,30,642,0
YAKA GHUND,877,0,637,0
DATA KHEL,5564,0,4777,0
DOSSALI,1273,0,146,0
GARYUM,1656,0,197,0
GHULAM KHAN,984,0,113,0
MIR ALI,2666,0,912,0
MIRAN SHAH,1872,0,425,0
RAZMAK,422,5,674,0
SHEWA,1651,0,620,0
SPINWAM,2775,0,454,0
CENTRAL ORAKZAI,1073,25,896,1
ISMAILZAI,579,65,688,0
LOWER ORAKZAI,1381,91,1434,0
UPPER ORAKZAI,381,77,1011,0
BIRMAL,3211,0,1593,0
LADHA,1505,53,797,0
MAKIN,1472,28,548,0
SARAOGHA,3492,0,711,0
SERWEKAI,1700,0,281,0
TIARZA,2286,45,1453,0
TOI KHULLA,2840,0,40,0
WANA,10665,0,1638,0
ABBOTTABAD,5615,892,203,896
HAVELIAN,1571,5,196,508
BANNU,3966,0,454,0
DOMEL,1737,0,409,0
ALAI,1993,135,2372,145
BATAGRAM,1932,140,264,701
DAGGAR,3034,44,537,99
GAGRA,2055,52,213,344
KHADO KHEL,2837,94,316,184
CHARSADDA,2384,0,89,83
SHABQADAR,1018,0,68,5
TANGI,1611,0,98,232
CHITRAL,22983,29,10960,0
MASTUJ,45841,0,5382,0
D.I.KHAN,6099,0,627,1
DARABAN,7543,0,414,0
KULACHI,4022,0,1715,0
PAHARPUR,9606,0,1352,1
PAROA,8343,0,806,7
HANGU,1744,0,1954,0
TALL,1870,0,2139,0
GHAZI,2509,12,707,82
HARIPUR,5605,136,1259,520
BANDA DAUD SHAH,2160,0,3956,0
KARAK,2222,0,3270,0
TAKHT E NASRATI,1290,0,1879,0
KOHAT,4153,0,5579,0
LACHI,1438,4,5446,0
DASSU,7663,173,12227,0
KANDIA,5208,21,6742,0
PALAS,4362,499,3161,2
PATTAN,1794,20,1853,0
LAKKI MARWAT,11886,0,2408,0
NAURANG,2655,0,671,0
ADENZAI,1796,6,392,6
LALQILLA,1008,4,135,53
MUNDA,1080,0,212,0
SAMARBAGH(BARWA),1160,7,425,24
TEMERGARA,2714,75,887,8
SAM RANIZAI,1368,0,104,61
SWAT RANIZAI,3106,10,709,0
BALAKOT,4015,804,8987,11
MANSEHRA,5320,431,836,1171
OGHI,1877,116,119,598
KATLANG,1569,0,88,42
MARDAN,4963,10,130,165
TAKHT BHAI,2076,0,4,189
NOWSHERA,4244,4,3249,0
PABBI,1487,7,815,0
ALPURI,2121,226,607,303
BISHAM,854,21,85,92
CHIKSAR,910,57,21,374
MARTUNG,739,14,38,67
PURAN,647,65,15,645
LAHOR,1425,0,334,4
RAZAR,2399,0,35,136
SWABI,1448,0,45,44
TOPI,1979,22,367,106
BABUZAI,1373,23,173,278
BAHRAIN,8397,421,9393,9
BARIKOT,1651,7,322,4
CHARBAGH,605,11,64,81
KABAL,1901,15,266,121
KHAWAZA KHELA,1081,72,100,369
MATTA,2590,40,722,515
TANK,8015,0,1210,0
TORGHER,1905,197,479,62
DIR,4064,246,2089,19
SHARINGAL,4113,562,6604,0
WARI,1718,154,894,7
Peshawar I,139,0,0,0
Peshawar II,2251,0,74,0
Peshawar III,857,0,50,0
Peshawar IV,3039,0,561,9
Peshawar Cantonment,85,0,0,0
