Tehsil,Other_pixel_count,Other_total_pixels,Other_pct (%),Other_min,Other_max,Other_mean,Forest_pixel_count,Forest_total_pixels,Forest_pct (%),Forest_min,Forest_max,Forest_mean,Grasslands_pixel_count,Grasslands_total_pixels,Grasslands_pct (%),Grasslands_min,Grasslands_max,Grasslands_mean,Croplands_pixel_count,Croplands_total_pixels,Croplands_pct (%),Croplands_min,Croplands_max,Croplands_mean
BAR CHAMARKAND,61,61,100.0,7.0,9.0,8.1148,0,0,,,,,34,34,100.0,10.0,10.0,10.0,0,0,,,,
BARANG,944,944,100.0,6.0,12.0,8.7977,1,1,100.0,4.0,4.0,4.0,563,563,100.0,10.0,10.0,10.0,0,0,,,,
KHAR,1049,1049,100.0,7.0,12.0,10.9609,0,0,,,,,515,515,100.0,10.0,10.0,10.0,0,0,,,,
MAMUND,880,880,100.0,7.0,12.0,11.2932,1,1,100.0,1.0,1.0,1.0,622,622,100.0,10.0,10.0,10.0,2,2,100.0,14.0,14.0,14.0
NAWAGAI,303,303,100.0,6.0,12.0,9.0,0,0,,,,,416,416,100.0,10.0,10.0,10.0,0,0,,,,
SALARZAI,984,984,100.0,7.0,13.0,10.6748,16,16,100.0,1.0,1.0,1.0,351,351,100.0,10.0,10.0,10.0,0,0,,,,
UTMAN KHEL,658,658,100.0,7.0,12.0,9.769,15,15,100.0,1.0,4.0,1.2,290,290,100.0,10.0,10.0,10.0,0,0,,,,
FR BANNU,4177,4177,100.0,7.0,16.0,7.7565,0,0,,,,,391,391,100.0,10.0,10.0,10.0,0,0,,,,
FR D.I.KHAN,7204,7204,100.0,7.0,16.0,7.1306,0,0,,,,,1891,1891,100.0,10.0,10.0,10.0,0,0,,,,
FR KOHAT,1024,1024,100.0,7.0,12.0,8.6289,1,1,100.0,1.0,1.0,1.0,1599,1599,100.0,10.0,10.0,10.0,0,0,,,,
FR LAKKI,935,935,100.0,7.0,16.0,7.3273,0,0,,,,,83,83,100.0,10.0,10.0,10.0,0,0,,,,
FR PESHAWAR,657,657,100.0,7.0,13.0,9.0304,5,5,100.0,1.0,1.0,1.0,790,790,100.0,10.0,10.0,10.0,0,0,,,,
FR TANK,5887,5887,100.0,7.0,16.0,7.5381,0,0,,,,,438,438,100.0,10.0,10.0,10.0,0,0,,,,
BARA,5373,5373,100.0,6.0,16.0,9.3549,728,728,100.0,1.0,5.0,2.0069,2956,2956,100.0,10.0,10.0,10.0,5,5,100.0,14.0,14.0,14.0
JAMRUD,1173,1173,100.0,7.0,16.0,9.7332,0,0,,,,,895,895,100.0,10.0,10.0,10.0,0,0,,,,
LANDI KOTAL,2342,2342,100.0,6.0,16.0,9.1909,0,0,,,,,1932,1932,100.0,10.0,10.0,10.0,0,0,,,,
CENTRAL KURRAM,3737,3737,100.0,7.0,16.0,9.0642,105,105,100.0,1.0,5.0,2.3714,4399,4399,100.0,10.0,10.0,10.0,0,0,,,,
LOWER KURRAM,2533,2533,100.0,7.0,13.0,8.4524,0,0,,,,,2730,2730,100.0,10.0,10.0,10.0,0,0,,,,
UPPER KURRAM,1859,1859,100.0,7.0,16.0,9.9597,12,12,100.0,1.0,1.0,1.0,3604,3604,100.0,10.0,10.0,10.0,0,0,,,,
AMBAR UTMAN KHEL,654,654,100.0,7.0,16.0,7.8242,2,2,100.0,1.0,1.0,1.0,663,663,100.0,10.0,10.0,10.0,0,0,,,,
HALIMZAI,667,667,100.0,6.0,16.0,7.3898,0,0,,,,,521,521,100.0,10.0,10.0,10.0,0,0,,,,
PINDIALI,1460,1460,100.0,6.0,16.0,7.5863,0,0,,,,,1102,1102,100.0,10.0,10.0,10.0,0,0,,,,
PRANG GHAR,798,798,100.0,6.0,16.0,8.312,0,0,,,,,665,665,100.0,10.0,10.0,10.0,0,0,,,,
SAFI,865,865,100.0,7.0,12.0,8.0671,0,0,,,,,954,954,100.0,10.0,10.0,10.0,0,0,,,,
UPPER MOMAND,2225,2225,100.0,7.0,16.0,7.3474,30,30,100.0,1.0,1.0,1.0,642,642,100.0,10.0,10.0,10.0,0,0,,,,
YAKA GHUND,877,877,100.0,6.0,16.0,7.8062,0,0,,,,,637,637,100.0,10.0,10.0,10.0,0,0,,,,
DATA KHEL,5564,5564,100.0,6.0,16.0,8.6486,0,0,,,,,4777,4777,100.0,10.0,10.0,10.0,0,0,,,,
DOSSALI,1273,1273,100.0,7.0,16.0,7.5758,0,0,,,,,146,146,100.0,10.0,10.0,10.0,0,0,,,,
GARYUM,1656,1656,100.0,7.0,16.0,7.6902,0,0,,,,,197,197,100.0,10.0,10.0,10.0,0,0,,,,
GHULAM KHAN,984,984,100.0,7.0,16.0,7.2835,0,0,,,,,113,113,100.0,10.0,10.0,10.0,0,0,,,,
MIR ALI,2666,2666,100.0,7.0,16.0,7.2881,0,0,,,,,912,912,100.0,10.0,10.0,10.0,0,0,,,,
MIRAN SHAH,1872,1872,100.0,7.0,16.0,7.2169,0,0,,,,,425,425,100.0,10.0,10.0,10.0,0,0,,,,
RAZMAK,422,422,100.0,6.0,13.0,8.6137,5,5,100.0,1.0,1.0,1.0,674,674,100.0,10.0,10.0,10.0,0,0,,,,
SHEWA,1651,1651,100.0,7.0,16.0,7.2114,0,0,,,,,620,620,100.0,10.0,10.0,10.0,0,0,,,,
SPINWAM,2775,2775,100.0,7.0,16.0,7.1906,0,0,,,,,454,454,100.0,10.0,10.0,10.0,0,0,,,,
CENTRAL ORAKZAI,1073,1073,100.0,6.0,12.0,10.1724,25,25,100.0,1.0,5.0,2.6,896,896,100.0,10.0,10.0,10.0,1,1,100.0,14.0,14.0,14.0
ISMAILZAI,579,579,100.0,7.0,11.0,8.9223,65,65,100.0,1.0,5.0,1.0615,688,688,100.0,10.0,10.0,10.0,0,0,,,,
LOWER ORAKZAI,1381,1381,100.0,6.0,12.0,9.6785,91,91,100.0,1.0,5.0,2.5824,1434,1434,100.0,10.0,10.0,10.0,0,0,,,,
UPPER ORAKZAI,381,381,100.0,8.0,12.0,10.4882,77,77,100.0,1.0,5.0,2.5455,1011,1011,100.0,10.0,10.0,10.0,0,0,,,,
BIRMAL,3211,3211,100.0,7.0,16.0,9.1395,0,0,,,,,1593,1593,100.0,10.0,10.0,10.0,0,0,,,,
LADHA,1505,1505,100.0,7.0,13.0,7.7801,53,53,100.0,1.0,1.0,1.0,797,797,100.0,10.0,10.0,10.0,0,0,,,,
MAKIN,1472,1472,100.0,7.0,11.0,8.6298,28,28,100.0,1.0,1.0,1.0,548,548,100.0,10.0,10.0,10.0,0,0,,,,
SARAOGHA,3492,3492,100.0,7.0,16.0,7.3883,0,0,,,,,711,711,100.0,10.0,10.0,10.0,0,0,,,,
SERWEKAI,1700,1700,100.0,7.0,16.0,8.3494,0,0,,,,,281,281,100.0,10.0,10.0,10.0,0,0,,,,
TIARZA,2286,2286,100.0,6.0,16.0,8.2209,45,45,100.0,1.0,1.0,1.0,1453,1453,100.0,10.0,10.0,10.0,0,0,,,,
TOI KHULLA,2840,2840,100.0,7.0,16.0,15.3662,0,0,,,,,40,40,100.0,10.0,10.0,10.0,0,0,,,,
WANA,10665,10665,100.0,7.0,17.0,12.4641,0,0,,,,,1638,1638,100.0,10.0,10.0,10.0,0,0,,,,
ABBOTTABAD,5615,5615,100.0,8.0,13.0,9.3863,892,892,100.0,1.0,5.0,3.1323,203,203,100.0,10.0,10.0,10.0,896,896,100.0,14.0,14.0,14.0
HAVELIAN,1571,1571,100.0,8.0,13.0,10.4806,5,5,100.0,1.0,1.0,1.0,196,196,100.0,10.0,10.0,10.0,508,508,100.0,14.0,14.0,14.0
BANNU,3966,3966,100.0,7.0,16.0,10.5837,0,0,,,,,454,454,100.0,10.0,10.0,10.0,0,0,,,,
DOMEL,1737,1737,100.0,7.0,16.0,7.9447,0,0,,,,,409,409,100.0,10.0,10.0,10.0,0,0,,,,
ALAI,1993,1993,100.0,8.0,16.0,10.2735,135,135,100.0,1.0,5.0,3.9037,2372,2372,100.0,10.0,10.0,10.0,145,145,100.0,14.0,14.0,14.0
BATAGRAM,1932,1932,100.0,8.0,13.0,10.1113,140,140,100.0,1.0,5.0,4.4286,264,264,100.0,10.0,10.0,10.0,701,701,100.0,14.0,14.0,14.0
DAGGAR,3034,3034,100.0,8.0,13.0,10.324,44,44,100.0,1.0,5.0,2.9091,537,537,100.0,10.0,10.0,10.0,99,99,100.0,14.0,14.0,14.0
GAGRA,2055,2055,100.0,8.0,13.0,10.0,52,52,100.0,1.0,5.0,2.5385,213,213,100.0,10.0,10.0,10.0,344,344,100.0,14.0,14.0,14.0
KHADO KHEL,2837,2837,100.0,8.0,13.0,10.987,94,94,100.0,1.0,5.0,2.0213,316,316,100.0,10.0,10.0,10.0,184,184,100.0,14.0,14.0,14.0
CHARSADDA,2384,2384,100.0,9.0,13.0,11.7429,0,0,,,,,89,89,100.0,10.0,10.0,10.0,83,83,100.0,14.0,14.0,14.0
SHABQADAR,1018,1018,100.0,7.0,13.0,11.5255,0,0,,,,,68,68,100.0,10.0,10.0,10.0,5,5,100.0,14.0,14.0,14.0
TANGI,1611,1611,100.0,7.0,13.0,11.1775,0,0,,,,,98,98,100.0,10.0,10.0,10.0,232,232,100.0,14.0,14.0,14.0
CHITRAL,22983,22983,100.0,6.0,17.0,14.7773,29,29,100.0,1.0,1.0,1.0,10960,10960,100.0,10.0,10.0,10.0,0,0,,,,
MASTUJ,45841,45841,100.0,9.0,17.0,15.7973,0,0,,,,,5382,5382,100.0,10.0,10.0,10.0,0,0,,,,
D.I.KHAN,6099,6099,100.0,7.0,16.0,10.0828,0,0,,,,,627,627,100.0,10.0,10.0,10.0,1,1,100.0,14.0,14.0,14.0
DARABAN,7543,7543,100.0,7.0,16.0,7.2663,0,0,,,,,414,414,100.0,10.0,10.0,10.0,0,0,,,,
KULACHI,4022,4022,100.0,7.0,16.0,7.4567,0,0,,,,,1715,1715,100.0,10.0,10.0,10.0,0,0,,,,
